IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
15.222.237.107,443,443,true,YUL,North America,CA,Montréal,346,0.39
204.110.223.38,80,443,true,CMH,North America,US,Columbus,299,0.36
13.53.37.135,2096,443,true,CPH,Europe,DK,Copenhagen,297,0.35
204.110.221.36,80,443,true,YUL,North America,CA,Montréal,282,0.30
204.110.223.160,80,443,true,CMH,North America,US,Columbus,346,0.30
204.110.223.188,80,443,true,ORD,North America,US,Chicago,313,0.26
204.110.223.97,80,443,true,CMH,North America,US,Columbus,419,0.26
13.50.150.189,443,443,true,ARN,Europe,SE,Stockholm,372,0.21
15.156.8.36,443,443,true,YUL,North America,CA,Montréal,415,0.16
204.110.221.170,80,443,true,YUL,North America,CA,Montréal,396,0.12
44.226.147.29,443,443,true,PDX,North America,US,Portland,226,0.11
15.157.7.168,443,443,true,YUL,North America,CA,Montréal,361,0.09
204.110.221.31,80,443,true,YUL,North America,CA,Montréal,442,0.09
204.110.221.26,80,443,true,YUL,North America,CA,Montréal,336,0.09
13.48.26.91,443,443,true,ARN,Europe,SE,Stockholm,242,0.06
13.53.193.196,8080,443,true,ARN,Europe,SE,Stockholm,410,0.04
13.127.74.176,2053,80,false,ORD,North America,US,Chicago,265,0.00
13.127.74.176,2052,80,false,ORD,North America,US,Chicago,176,0.00
13.127.74.176,2082,80,false,ORD,North America,US,Chicago,180,0.00
13.127.74.176,2095,80,false,ORD,North America,US,Chicago,217,0.00
52.66.152.200,2053,80,false,ORD,North America,US,Chicago,62,0.00
43.204.100.244,8443,80,false,ORD,North America,US,Chicago,63,0.00
13.127.74.176,443,80,false,ORD,North America,US,Chicago,226,0.00
3.111.33.105,8080,80,false,ORD,North America,US,Chicago,62,0.00
43.204.100.244,2086,80,false,ORD,North America,US,Chicago,63,0.00
35.88.241.242,443,80,false,ORD,North America,US,Chicago,199,0.00
35.86.129.223,2082,80,false,ORD,North America,US,Chicago,202,0.00
44.243.201.0,2052,80,false,ORD,North America,US,Chicago,210,0.00
35.162.40.27,2086,80,false,ORD,North America,US,Chicago,210,0.00
44.243.201.0,443,80,false,ORD,North America,US,Chicago,211,0.00
35.88.241.242,2095,80,false,ORD,North America,US,Chicago,214,0.00
35.88.241.242,8443,80,false,ORD,North America,US,Chicago,209,0.00
54.149.169.171,8443,80,false,ORD,North America,US,Chicago,199,0.00
44.243.201.0,2053,80,false,ORD,North America,US,Chicago,195,0.00
54.149.169.171,2053,80,false,ORD,North America,US,Chicago,197,0.00
44.243.201.0,2082,80,false,ORD,North America,US,Chicago,202,0.00
44.243.201.0,2087,80,false,ORD,North America,US,Chicago,197,0.00
52.43.233.76,2087,80,false,ORD,North America,US,Chicago,196,0.00
34.220.101.201,443,80,false,ORD,North America,US,Chicago,196,0.00
52.43.233.76,2083,80,false,ORD,North America,US,Chicago,212,0.00
44.243.221.214,2052,80,false,ORD,North America,US,Chicago,195,0.00
52.35.99.227,2087,80,false,ORD,North America,US,Chicago,201,0.00
44.243.201.0,2095,80,false,ORD,North America,US,Chicago,215,0.00
35.88.241.242,8880,80,false,ORD,North America,US,Chicago,204,0.00
35.94.25.244,2087,80,false,ORD,North America,US,Chicago,198,0.00
35.88.241.242,2083,80,false,ORD,North America,US,Chicago,204,0.00
34.220.101.201,2082,80,false,ORD,North America,US,Chicago,198,0.00
35.88.241.242,2052,80,false,ORD,North America,US,Chicago,197,0.00
35.88.241.242,80,80,false,ORD,North America,US,Chicago,196,0.00
35.162.223.126,443,80,false,ORD,North America,US,Chicago,196,0.00
52.34.133.105,2083,80,false,ORD,North America,US,Chicago,199,0.00
35.88.241.242,2053,80,false,ORD,North America,US,Chicago,214,0.00
52.43.233.76,2082,80,false,ORD,North America,US,Chicago,202,0.00
52.43.233.76,8880,80,false,ORD,North America,US,Chicago,197,0.00
44.243.201.0,80,80,false,ORD,North America,US,Chicago,203,0.00
35.162.40.27,443,80,false,ORD,North America,US,Chicago,198,0.00
44.243.201.0,8880,80,false,ORD,North America,US,Chicago,201,0.00
34.216.168.169,8443,80,false,ORD,North America,US,Chicago,197,0.00
52.34.133.105,80,80,false,ORD,North America,US,Chicago,198,0.00
35.162.40.27,2096,80,false,ORD,North America,US,Chicago,202,0.00
35.162.40.27,2095,80,false,ORD,North America,US,Chicago,198,0.00
35.162.40.27,2053,80,false,ORD,North America,US,Chicago,199,0.00
44.243.201.0,8443,80,false,ORD,North America,US,Chicago,197,0.00
52.43.233.76,2053,80,false,ORD,North America,US,Chicago,197,0.00
34.216.168.169,80,80,false,ORD,North America,US,Chicago,196,0.00
35.162.40.27,8880,80,false,ORD,North America,US,Chicago,196,0.00
44.243.201.0,2083,80,false,ORD,North America,US,Chicago,200,0.00
35.162.40.27,2082,80,false,ORD,North America,US,Chicago,215,0.00
35.94.25.244,8080,80,false,ORD,North America,US,Chicago,201,0.00
