IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
158.179.176.239,2095,2095,false,NRT,Asia Pacific,Tokyo,69,11.22
141.147.174.190,8080,8080,false,NRT,Asia Pacific,Tokyo,72,11.20
158.179.189.235,2096,2096,true,NRT,Asia Pacific,Tokyo,234,11.20
150.230.107.197,2087,2087,true,NRT,Asia Pacific,Tokyo,86,11.19
140.238.35.195,2095,2095,false,NRT,Asia Pacific,Tokyo,70,11.18
138.3.223.50,80,80,false,NRT,Asia Pacific,Tokyo,75,11.17
132.145.114.250,2087,2087,true,NRT,Asia Pacific,Tokyo,193,11.17
168.138.217.146,2083,2083,true,NRT,Asia Pacific,Tokyo,96,11.17
158.179.184.166,2083,2083,true,NRT,Asia Pacific,Tokyo,90,11.17
158.179.191.14,2053,2053,true,NRT,Asia Pacific,Tokyo,99,11.17
158.179.186.234,2052,2052,false,NRT,Asia Pacific,Tokyo,71,11.17
158.179.188.95,2087,2087,true,NRT,Asia Pacific,Tokyo,230,11.16
150.230.108.135,2053,2053,true,NRT,Asia Pacific,Tokyo,100,11.16
138.3.216.67,80,80,false,NRT,Asia Pacific,Tokyo,71,11.16
131.186.37.69,2086,2086,false,NRT,Asia Pacific,Tokyo,77,11.15
168.138.206.109,8880,8880,false,NRT,Asia Pacific,Tokyo,67,11.15
131.186.39.42,80,80,false,NRT,Asia Pacific,Tokyo,69,11.15
131.186.61.45,8080,8080,false,NRT,Asia Pacific,Tokyo,68,11.14
143.47.246.53,443,443,true,FRA,Europe,Frankfurt,189,11.14
168.138.202.169,2096,2096,true,NRT,Asia Pacific,Tokyo,72,11.14
158.101.131.218,8443,8443,true,NRT,Asia Pacific,Tokyo,196,11.14
131.186.45.88,2095,2095,false,NRT,Asia Pacific,Tokyo,71,11.13
158.101.142.103,8880,8880,false,NRT,Asia Pacific,Tokyo,69,11.13
168.138.209.84,80,80,false,NRT,Asia Pacific,Tokyo,69,11.13
140.238.51.89,8880,8880,false,NRT,Asia Pacific,Tokyo,72,11.13
140.238.33.150,80,80,false,NRT,Asia Pacific,Tokyo,68,11.12
158.101.140.154,80,80,false,NRT,Asia Pacific,Tokyo,69,11.11
140.238.35.78,2083,2083,true,NRT,Asia Pacific,Tokyo,75,11.11
168.138.211.131,2083,2083,true,NRT,Asia Pacific,Tokyo,76,11.11
132.145.127.51,8443,8443,true,NRT,Asia Pacific,Tokyo,68,11.10
158.101.157.173,2052,2052,false,NRT,Asia Pacific,Tokyo,77,11.10
131.186.63.184,8080,8080,false,NRT,Asia Pacific,Tokyo,71,11.10
158.101.140.154,2082,2082,false,NRT,Asia Pacific,Tokyo,118,11.09
168.138.202.169,8443,8443,true,NRT,Asia Pacific,Tokyo,117,11.08
138.3.211.101,2083,2083,true,NRT,Asia Pacific,Tokyo,104,11.08
140.238.54.149,8080,8080,false,NRT,Asia Pacific,Tokyo,73,11.08
168.138.196.237,80,80,false,NRT,Asia Pacific,Tokyo,75,11.08
140.238.41.167,80,80,false,NRT,Asia Pacific,Tokyo,69,11.07
140.83.38.243,2095,2095,false,NRT,Asia Pacific,Tokyo,69,11.07
168.138.212.175,2096,2096,true,NRT,Asia Pacific,Tokyo,70,11.07
132.226.5.21,8080,8080,false,NRT,Asia Pacific,Tokyo,70,11.07
158.180.57.10,443,443,true,FRA,Europe,Frankfurt,219,11.07
140.238.38.245,2096,2096,true,NRT,Asia Pacific,Tokyo,161,11.05
168.138.211.131,80,80,false,NRT,Asia Pacific,Tokyo,71,11.05
168.138.200.155,2086,2086,false,NRT,Asia Pacific,Tokyo,70,11.05
132.145.126.21,2087,2087,true,NRT,Asia Pacific,Tokyo,70,11.04
140.238.62.12,8443,8443,true,NRT,Asia Pacific,Tokyo,87,11.04
140.238.39.21,2095,2095,false,NRT,Asia Pacific,Tokyo,71,11.04
150.230.47.17,443,443,true,SJC,North America,San Jose,187,11.03
158.101.143.49,8880,8880,false,NRT,Asia Pacific,Tokyo,102,11.02
138.3.223.70,2086,2086,false,NRT,Asia Pacific,Tokyo,67,11.02
141.147.44.38,443,443,true,FRA,Europe,Frankfurt,170,11.01
168.138.202.169,80,80,false,NRT,Asia Pacific,Tokyo,69,11.01
